editorial_subject,category,canonical_subject_ids,provider_identity,resolution_type,current_status,proposed_action,evidence_provenance_status,exception_note
Nice — Bastia,SIGNIFICANT_RIVALRY,"[84, 1305]","[84, 1305]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Laval — Le Mans,SIGNIFICANT_RIVALRY,"[433, 1298]","[433, 1298]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Brest — Guingamp,SIGNIFICANT_RIVALRY,"[90, 106]","[90, 106]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Rennes — Guingamp,SIGNIFICANT_RIVALRY,"[90, 94]","[90, 94]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Boulogne — Dunkerque,SIGNIFICANT_RIVALRY,"[1299, 1304]","[1299, 1304]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Grenoble — Annecy,SIGNIFICANT_RIVALRY,"[101, 3012]","[101, 3012]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Sochaux — Dijon,SIGNIFICANT_RIVALRY,"[89, 115]","[89, 115]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Troyes — Reims,SIGNIFICANT_RIVALRY,"[93, 110]","[93, 110]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (deterministic alias; exact)
Caen — Rouen,SIGNIFICANT_RIVALRY,"[88, 3221]","[88, 3221]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Rouen — QRM,SIGNIFICANT_RIVALRY,"[431, 3221]","[431, 3221]",DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical pair resolved (exact; exact)
Concarneau — Stade Briochin,SIGNIFICANT_RIVALRY,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,One or both teams are absent from current fixtures
Geoffroy-Guichard,CLASSIC_GROUND,[23035],[23035],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (unique contained name/alias)
Bollaert-Delelis,CLASSIC_GROUND,[23296],[23296],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (unique contained name/alias)
Stade de la Meinau,CLASSIC_GROUND,[23288],[23288],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Stade Francis-Le Blé,CLASSIC_GROUND,[23291],[23291],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Stade de l'Abbé-Deschamps,CLASSIC_GROUND,[23292],[23292],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Stade Auguste-Delaune,CLASSIC_GROUND,[23027],[23027],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Stade du Moustoir,CLASSIC_GROUND,[23290],[23290],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (unique contained name/alias)
Stade Bonal,CLASSIC_GROUND,[23033],[23033],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Approved venue alias resolved to current canonical venue.
Stade Bauer,CLASSIC_GROUND,[23031],[23031],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (unique contained name/alias)
Stade Vélodrome,FOOTBALL_LANDMARK,[23283],[23283],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Approved venue alias resolved to current canonical venue.
Parc des Princes,FOOTBALL_LANDMARK,[23285],[23285],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Geoffroy-Guichard,FOOTBALL_LANDMARK,[23035],[23035],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (unique contained name/alias)
Bollaert-Delelis,FOOTBALL_LANDMARK,[23296],[23296],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (unique contained name/alias)
Stade de la Meinau,FOOTBALL_LANDMARK,[23288],[23288],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Stade de France,FOOTBALL_LANDMARK,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Venue is absent from current fixtures and aliases
Stade de l'Abbé-Deschamps,FOOTBALL_LANDMARK,[23292],[23292],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Stade Louis-II,UNIQUE_SETTING,[23286],[23286],DETERMINISTIC_ALIAS,CURRENT,ALREADY_PRESENT,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Canonical venue resolved (exact name/alias)
Stade François-Coty,UNIQUE_SETTING,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Venue is absent from current fixtures and aliases
RC Lens,EXCEPTIONAL_SUPPORT,[116],[116],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Olympique de Marseille,EXCEPTIONAL_SUPPORT,[81],[81],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Paris Saint-Germain,EXCEPTIONAL_SUPPORT,[85],[85],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
AS Saint-Étienne,EXCEPTIONAL_SUPPORT,[1063],[1063],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
RC Strasbourg Alsace,EXCEPTIONAL_SUPPORT,[95],[95],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
SC Bastia,EXCEPTIONAL_SUPPORT,[1305],[1305],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
FC Nantes,EXCEPTIONAL_SUPPORT,[83],[83],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Red Star FC,EXCEPTIONAL_SUPPORT,[104],[104],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
FC Sochaux-Montbéliard,EXCEPTIONAL_SUPPORT,[115],[115],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Toulouse FC,EXCEPTIONAL_SUPPORT,[96],[96],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
En Avant Guingamp,EXCEPTIONAL_SUPPORT,[90],[90],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
FC Metz,EXCEPTIONAL_SUPPORT,[112],[112],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
