editorial_subject,category,canonical_subject_ids,provider_identity,resolution_type,current_status,proposed_action,evidence_provenance_status,exception_note
Real Madrid — Barcelona,SIGNIFICANT_RIVALRY,"[529, 541]","[529, 541]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,El Clásico
Tenerife — Las Palmas,SIGNIFICANT_RIVALRY,"[534, 719]","[534, 719]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Canary Islands Derby
Real Murcia — Cartagena,SIGNIFICANT_RIVALRY,"[5262, 5275]","[5262, 5275]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"Murcia regional derby. Pair IDs [5262, 5275] are the approved canonical pair; confirm canonical team-name assignment read-only before write because the provider venue 3989 investigation exposed inconsistent API-Football metadata. Do not change the rivalry meaning or mutate Murcia venue data."
Elche — Hércules,SIGNIFICANT_RIVALRY,"[797, 4666]","[797, 4666]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Alicante provincial derby
Athletic Club — Osasuna,SIGNIFICANT_RIVALRY,"[531, 727]","[531, 727]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Northern regional rivalry
Real Sociedad — Osasuna,SIGNIFICANT_RIVALRY,"[548, 727]","[548, 727]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Northern regional rivalry
Eibar — Real Sociedad,SIGNIFICANT_RIVALRY,"[545, 548]","[545, 548]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Basque regional rivalry
Real Zaragoza — Osasuna,SIGNIFICANT_RIVALRY,"[727, 732]","[727, 732]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Navarro-Aragonese rivalry
Athletic Club — Deportivo Alavés,SIGNIFICANT_RIVALRY,"[531, 542]","[531, 542]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Basque derby
Burgos CF — Real Valladolid,SIGNIFICANT_RIVALRY,"[720, 9580]","[720, 9580]",DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Castilla y León derby
Cádiz — Xerez,SIGNIFICANT_RIVALRY,[],[],GENUINE_NOT_IN_CURRENT_INVENTORY,DORMANT,DORMANT_NO_WRITE,APPROVED_CATALOGUE_PROVENANCE_RETAINED,Cádiz provincial rivalry. Xerez is not resolved in the current usable fixture inventory; retain as an approved dormant catalogue fact.
Mestalla,CLASSIC_GROUND,[23263],[23263],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Estadio de Vallecas,CLASSIC_GROUND,[23276],[23276],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Ramón Sánchez-Pizjuán,CLASSIC_GROUND,[23265],[23265],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
El Molinón,CLASSIC_GROUND,[23564],[23564],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Balaídos,CLASSIC_GROUND,[23266],[23266],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
La Romareda,CLASSIC_GROUND,[23233],[23233],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
El Sardinero,CLASSIC_GROUND,[23278],[23278],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Nuevo Mirandilla,CLASSIC_GROUND,[23563],[23563],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Riazor,CLASSIC_GROUND,[23272],[23272],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Heliodoro Rodríguez López,CLASSIC_GROUND,[23559],[23559],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Ipurua,CLASSIC_GROUND,[23554],[23554],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain classic-ground catalogue fact.
Santiago Bernabéu,FOOTBALL_LANDMARK,[23269],[23269],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain football-landmark catalogue fact.
Camp Nou,FOOTBALL_LANDMARK,[23260],[23260],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain football-landmark catalogue fact.
Mestalla,FOOTBALL_LANDMARK,[23263],[23263],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain football-landmark catalogue fact.
San Mamés,FOOTBALL_LANDMARK,[23262],[23262],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain football-landmark catalogue fact.
El Molinón,FOOTBALL_LANDMARK,[23564],[23564],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain football-landmark catalogue fact.
Ramón Sánchez-Pizjuán,FOOTBALL_LANDMARK,[23265],[23265],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Approved Spain football-landmark catalogue fact.
Ipurua,UNIQUE_SETTING,[23554],[23554],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"Eibar hillside setting — A compact football ground squeezed into Eibar's steep, dense Basque urban landscape."
Estadio de Vallecas,UNIQUE_SETTING,[23276],[23276],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,Vallecas neighbourhood setting — A football ground embedded directly into the identity and streets of Vallecas.
Athletic Club,EXCEPTIONAL_SUPPORT,[531],[531],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Real Betis,EXCEPTIONAL_SUPPORT,[543],[543],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Sevilla FC,EXCEPTIONAL_SUPPORT,[536],[536],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Rayo Vallecano,EXCEPTIONAL_SUPPORT,[728],[728],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
CA Osasuna,EXCEPTIONAL_SUPPORT,[727],[727],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Racing Santander,EXCEPTIONAL_SUPPORT,[4665],[4665],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Real Sporting,EXCEPTIONAL_SUPPORT,[731],[731],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Real Oviedo,EXCEPTIONAL_SUPPORT,[718],[718],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
RC Deportivo,EXCEPTIONAL_SUPPORT,[544],[544],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Cádiz CF,EXCEPTIONAL_SUPPORT,[724],[724],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
Málaga CF,EXCEPTIONAL_SUPPORT,[535],[535],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
CD Castellón,EXCEPTIONAL_SUPPORT,[5254],[5254],DETERMINISTIC_ALIAS,CURRENT,INSERT,APPROVED_EDITORIAL_DECISION; INDEPENDENT_PROVENANCE_TO_RETAIN,"If supporter culture is important to you, this is one of the clubs worth seeing."
